Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Enzo,Chelsea,MID,6.7,63,OK,9.4,4.0,1.0,63.0,CHE,1175.4666666666667,1175.533333333333,1175.4666666666667,0.05
Ndiaye,Everton,MID,6.5,63,OK,9.69,5.0,1.0,63.0,EVE,1180.4666666666667,1166.1333333333334,1180.4666666666667,0.05
Gakpo,Liverpool,MID,7.5,63,OK,8.4,15.0,1.0,63.0,LIV,1119.7333333333333,1184.2666666666667,1119.7333333333333,0.06
Xhaka,Sunderland,MID,5.2,63,OK,12.12,9.0,1.0,63.0,SUN,1173.4666666666667,1251.3999999999999,1173.4666666666667,0.05
Kudus,Spurs,MID,6.5,62,OK,9.54,15.0,1.0,62.0,TOT,1149.9333333333334,1208.7333333333333,1149.9333333333334,0.05
Rogers,Aston Villa,MID,6.9,61,OK,8.84,11.0,1.0,61.0,AVL,1198.6666666666667,1194.3999999999999,1198.6666666666667,0.05
Cullen,Burnley,MID,5.0,61,OK,12.2,6.0,1.0,61.0,BUR,1163.8,1171.8,1163.8,0.05
Gravenberch,Liverpool,MID,5.6,61,OK,10.89,8.0,1.0,61.0,LIV,1119.7333333333333,1184.2666666666667,1119.7333333333333,0.05
J.Palhinha,Spurs,MID,5.5,60,OK,10.91,1.0,1.0,60.0,TOT,1149.9333333333334,1208.7333333333333,1149.9333333333334,0.05
Grealish,Everton,MID,6.6,59,OK,8.94,13.0,1.0,59.0,EVE,1180.4666666666667,1166.1333333333334,1180.4666666666667,0.05
Casemiro,Man Utd,MID,5.5,59,DOUBT,10.73,12.0,1.0,59.0,MUN,1120.7333333333333,1174.466666666667,1120.7333333333333,0.05
Trossard,Arsenal,MID,6.9,58,OK,8.41,6.0,1.0,58.0,ARS,1139.4666666666665,1165.8,1139.4666666666665,0.05
O.Dango,Brentford,MID,6.0,58,OK,9.67,14.0,1.0,58.0,BRE,1123.7333333333333,1172.3333333333333,1123.7333333333333,0.05
Dewsbury-Hall,Everton,MID,5.0,58,OK,11.6,10.0,1.0,58.0,EVE,1180.4666666666667,1166.1333333333334,1180.4666666666667,0.05
