Icon,Surname,Full_Info,Team,Appearances,Time Played - Exact,Goals From Penalties,Goals From Set Plays,Headed Goal Attempts From Set Plays,Shots From Set Plays,Corners,Corners - Successful,Crosses From Free Kick,Crosses From Free Kick - Successful,Mins,Mins_90s,Corners_per_90,FK_Crosses_per_90,SetPieceShots_per_90,Club
,Gomez,"Gomez Joseph Gomez (Liverpool, Defender)",LIV,21,690,0,0,1,2,0,0,0,0,690,7.666666666666667,0.0,0.0,0.26,Liverpool
,González,"González (Nico) Nico González (Manchester City, Midfielder)",MCI,25,1603,0,1,0,3,0,0,0,0,1603,17.81111111111111,0.0,0.0,0.17,Manchester City
,Gordon,"Gordon (Anthony) Anthony Gordon (Newcastle United, Midfielder)",NEW,26,1796,3,0,1,8,4,0,1,1,1796,19.955555555555556,0.2,0.05,0.4,Newcastle United
,Gravenberch,"Gravenberch Ryan Gravenberch (Liverpool, Midfielder)",LIV,36,2997,0,1,0,7,0,0,0,0,2997,33.3,0.0,0.0,0.21,Liverpool
,Gray,"Gray (Archie) Archie Gray (Tottenham Hotspur, Midfielder)",TOT,24,1517,0,2,2,3,0,0,0,0,1517,16.855555555555554,0.0,0.0,0.18,Tottenham Hotspur
,Grealish,"Grealish Jack Grealish (Everton, Midfielder)",EVE,20,1632,0,0,0,10,2,0,0,0,1632,18.133333333333333,0.11,0.0,0.55,Everton
,Groß,"Groß Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,19,1641,0,0,0,6,57,15,11,4,1641,18.233333333333334,3.13,0.6,0.33,Brighton and Hove Albion
,Gruda,"Gruda Brajan Gruda (Brighton and Hove Albion, Midfielder)",BHA,18,783,0,0,0,2,7,1,2,0,783,8.7,0.8,0.23,0.23,Brighton and Hove Albion
,Gruev,"Gruev Ilia Gruev (Leeds United, Midfielder)",LEE,23,1357,0,0,1,3,4,0,8,4,1357,15.077777777777778,0.27,0.53,0.2,Leeds United
,Gudmundsson,"Gudmundsson Gabriel Gudmundsson (Leeds United, Defender)",LEE,32,2625,0,0,1,13,3,1,1,0,2625,29.166666666666668,0.1,0.03,0.45,Leeds United
,Marc Guehi,"Marc Guehi Addji Keaninkin Marc-Israel Guehi (Manchester City, Defender)",MCI,35,3150,0,2,22,28,2,0,0,0,3150,35.0,0.06,0.0,0.8,Manchester City
,Guessand,"Guessand Evann Guessand (Crystal Palace, Midfielder)",CRY,21,975,0,0,1,2,0,0,0,0,975,10.833333333333334,0.0,0.0,0.18,Crystal Palace
,Gueye,"Gueye Idrissa Gueye (Everton, Midfielder)",EVE,25,2093,0,1,0,12,0,0,0,0,2093,23.255555555555556,0.0,0.0,0.52,Everton
,Bruno Guimarães,"Bruno Guimarães Bruno Guimarães Rodriguez Moura (Newcastle United, Midfielder)",NEW,29,2459,2,3,5,13,43,13,7,0,2459,27.322222222222223,1.57,0.26,0.48,Newcastle United
,Guiu,"Guiu Marc Guiu (Chelsea, Forward)",CHE,10,315,0,0,1,1,0,0,0,0,315,3.5,0.0,0.0,0.29,Chelsea
,Gusto,"Gusto Malo Gusto (Chelsea, Defender)",CHE,34,2296,0,0,0,3,0,0,0,0,2296,25.511111111111113,0.0,0.0,0.12,Chelsea
,Gvardiol,"Gvardiol Joško Gvardiol (Manchester City, Defender)",MCI,18,1385,0,2,9,11,0,0,0,0,1385,15.38888888888889,0.0,0.0,0.71,Manchester City
,Gyokeres,"Gyokeres Viktor Gyokeres (Arsenal, Forward)",ARS,36,2276,3,3,4,9,0,0,0,0,2276,25.288888888888888,0.0,0.0,0.36,Arsenal
,Haaland,"Haaland Erling Haaland (Manchester City, Forward)",MCI,35,2955,3,0,11,19,0,0,0,0,2955,32.833333333333336,0.0,0.0,0.58,Manchester City
,Lewis Hall,"Lewis Hall Lewis Hall (Newcastle United, Defender)",NEW,30,2221,0,1,0,12,41,5,7,4,2221,24.677777777777777,1.66,0.28,0.49,Newcastle United
,Harrison,"Harrison (Jack) Jack Harrison (Leeds United, Midfielder)",LEE,11,308,0,0,0,2,3,1,1,0,308,3.422222222222222,0.88,0.29,0.58,Leeds United
,Hartman,"Hartman Quilindschy Hartman (Burnley, Defender)",BUR,21,1821,0,0,0,5,21,3,6,0,1821,20.233333333333334,1.04,0.3,0.25,BUR
,Hato,"Hato Jorrel Hato (Chelsea, Defender)",CHE,22,1201,0,0,1,2,0,0,0,0,1201,13.344444444444445,0.0,0.0,0.15,Chelsea
,Havertz,"Havertz Kai Havertz (Arsenal, Forward)",ARS,12,608,0,1,3,6,0,0,0,0,608,6.7555555555555555,0.0,0.0,0.89,Arsenal
,Heaven,"Heaven Ayden Heaven (Manchester United, Defender)",MUN,17,957,0,0,2,2,0,0,0,0,957,10.633333333333333,0.0,0.0,0.19,Manchester United
,Henderson,"Henderson (Jordan) Jordan Henderson (Brentford, Midfielder)",BRE,32,1972,0,0,0,4,3,1,9,4,1972,21.91111111111111,0.14,0.41,0.18,Brentford
,Henry,"Henry Rico Henry (Brentford, Defender)",BRE,25,1390,0,0,0,5,0,0,0,0,1390,15.444444444444445,0.0,0.0,0.32,Brentford
,Rodri,"Rodri Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,21,1526,0,1,5,9,0,0,0,0,1526,16.955555555555556,0.0,0.0,0.53,Manchester City
,Hickey,"Hickey Aaron Hickey (Brentford, Defender)",BRE,21,759,0,0,0,5,0,0,0,0,759,8.433333333333334,0.0,0.0,0.59,Brentford
