Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Woltemade,Newcastle,FWD,7.1,81,OK,11.41,3.0,1.0,81.0,NEW,1176.428571428571,1258.7142857142858,1176.428571428571,0.07,0.0,0.07063752276867033
Evanilson,Bournemouth,FWD,7.0,72,OK,10.29,10.0,1.0,72.0,BOU,1102.2380952380952,1150.4761904761904,1102.2380952380952,0.07,2.5,0.07394046744718538
Raúl,Fulham,FWD,6.2,71,OK,11.45,9.0,1.0,71.0,FUL,1169.2857142857144,1212.7142857142856,1169.2857142857144,0.06,0.0,0.0661087354917532
Welbeck,Brighton,FWD,6.2,68,OK,10.97,4.0,1.0,68.0,BHA,1154.6666666666667,1153.428571428571,1154.6666666666667,0.06,5.0,0.06564665127020784
Barry,Everton,FWD,5.7,59,OK,10.35,18.0,1.0,59.0,EVE,1142.904761904762,1188.9047619047617,1142.904761904762,0.05,0.0,0.06264738969209616
Wilson,West Ham,FWD,5.8,59,OK,10.17,7.0,1.0,59.0,WHU,1156.952380952381,1186.6666666666663,1156.952380952381,0.05,0.0,0.05523131379650971
Kroupi.Jr,Bournemouth,FWD,4.6,57,OK,12.39,3.0,1.0,57.0,BOU,1102.2380952380952,1150.4761904761904,1102.2380952380952,0.05,0.0,0.053618179461701304
Gyökeres,Arsenal,FWD,8.7,56,OK,6.44,2.0,1.0,56.0,ARS,1131.809523809524,1182.190476190476,1131.809523809524,0.05,0.0,0.050715247391450675
Šeško,Man Utd,FWD,7.2,56,OK,7.78,1.0,1.0,56.0,MUN,1114.190476190476,1147.9999999999998,1114.190476190476,0.05,0.0,0.05088896486879222
Brobbey,Sunderland,FWD,5.6,55,OK,9.82,15.0,1.0,55.0,SUN,1142.809523809524,1195.904761904762,1142.809523809524,0.05,0.0,0.05731488812033833
Igor Jesus,Nott'm Forest,FWD,5.8,55,OK,9.48,55.0,1.0,55.0,NFO,1149.2857142857142,1192.8095238095236,1149.2857142857142,0.05,0.0,0.08135487880671224
Isidor,Sunderland,FWD,5.2,50,DOUBT,9.62,0.0,1.0,50.0,SUN,1142.809523809524,1195.904761904762,1142.809523809524,0.04,0.0,0.04375182299262468
Beto,Everton,FWD,5.0,38,OK,7.6,2.0,1.0,38.0,EVE,1142.904761904762,1188.9047619047617,1142.904761904762,0.03,2.5,0.036660972459480856
Strand Larsen,Wolves,FWD,6.1,38,OK,6.23,4.0,1.0,38.0,WOL,1143.857142857143,1198.4761904761906,1143.857142857143,0.03,0.0,0.035668789808917196
Mané,Wolves,FWD,4.5,38,OK,8.44,38.0,1.0,38.0,WOL,1143.857142857143,1198.4761904761906,1143.857142857143,0.03,0.0,0.05647558386411889
Broja,Burnley,FWD,5.2,36,OK,6.92,36.0,1.0,36.0,BUR,1133.047619047619,1184.47619047619,1133.047619047619,0.03,0.0,0.05401361687820459
Toti,Wolves,FWD,5.4,35,OK,6.48,3.0,1.0,35.0,WOL,1143.857142857143,1198.4761904761906,1143.857142857143,0.03,0.0,0.032434120144873235
Zirkzee,Man Utd,FWD,5.8,33,DOUBT,5.69,0.0,1.0,33.0,MUN,1114.190476190476,1147.9999999999998,1114.190476190476,0.03,0.0,0.02961791606120182
