Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Bowen,West Ham,FWD,7.6,120,OK,15.79,120,1.0,120.0,WHU,1173.3809523809525,1233.904761904762,1173.3809523809525,0.1
Ekitiké,Liverpool,FWD,8.9,104,OK,11.69,104,1.0,104.0,LIV,1183.285714285714,1194.3333333333333,1183.285714285714,0.09
Calvert-Lewin,Leeds,FWD,5.9,102,OK,17.29,102,1.0,102.0,LEE,1211.7142857142856,1220.5714285714284,1211.7142857142856,0.08
Watkins,Aston Villa,FWD,8.6,95,OK,11.05,95,1.0,95.0,AVL,1164.6190476190475,1205.8095238095236,1164.6190476190475,0.08
Woltemade,Newcastle,FWD,6.9,84,OK,12.17,84,1.0,84.0,NEW,1244.8095238095236,1307.3333333333335,1244.8095238095236,0.07
Raúl,Fulham,FWD,6.1,83,OK,13.61,83,1.0,83.0,FUL,1194.238095238095,1199.904761904762,1194.238095238095,0.07
Gyökeres,Arsenal,FWD,8.8,78,OK,8.86,78,1.0,78.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.07
Evanilson,Bournemouth,FWD,7.0,77,OK,11.0,77,1.0,77.0,BOU,1177.7619047619048,1187.047619047619,1177.7619047619048,0.07
Welbeck,Brighton,FWD,6.1,73,OK,11.97,73,1.0,73.0,BHA,1221.904761904762,1234.952380952381,1221.904761904762,0.06
Seško,Man Utd,FWD,7.2,71,OK,9.86,71,1.0,71.0,MUN,1201.0,1213.4761904761904,1201.0,0.06
Kroupi.Jr,Bournemouth,FWD,4.7,67,OK,14.26,67,1.0,67.0,BOU,1177.7619047619048,1187.047619047619,1177.7619047619048,0.06
Barry,Everton,FWD,5.7,65,OK,11.4,65,1.0,65.0,EVE,1188.904761904762,1251.8095238095236,1188.904761904762,0.05
Wilson,West Ham,FWD,5.8,62,OK,10.69,62,1.0,62.0,WHU,1173.3809523809525,1233.904761904762,1173.3809523809525,0.05
Brobbey,Sunderland,FWD,5.5,61,OK,11.09,61,1.0,61.0,SUN,1184.8095238095236,1215.1904761904761,1184.8095238095236,0.05
Nmecha,Leeds,FWD,5.0,60,OK,12.0,60,1.0,60.0,LEE,1211.7142857142856,1220.5714285714284,1211.7142857142856,0.05
Igor Jesus,Nott'm Forest,FWD,5.8,59,OK,10.17,59,1.0,59.0,NFO,1211.1904761904761,1258.333333333333,1211.1904761904761,0.05
Isidor,Sunderland,FWD,5.1,54,OK,10.59,54,1.0,54.0,SUN,1184.8095238095236,1215.1904761904761,1184.8095238095236,0.05
Strand Larsen,Crystal Palace,FWD,6.1,53,OK,8.69,53,1.0,53.0,CRY,1118.1904761904764,1116.6666666666665,1118.1904761904764,0.05
Tolu,Wolves,FWD,5.4,49,OK,9.07,49,1.0,49.0,WOL,1143.8095238095239,1157.8095238095239,1143.8095238095239,0.04
Flemming,Burnley,FWD,5.3,47,OK,8.87,47,1.0,47.0,BUR,1195.0,1241.7619047619048,1195.0,0.04
Foster,Burnley,FWD,4.9,46,OK,9.39,46,1.0,46.0,BUR,1195.0,1241.7619047619048,1195.0,0.04
Beto,Everton,FWD,5.0,46,OK,9.2,46,1.0,46.0,EVE,1188.904761904762,1251.8095238095236,1188.904761904762,0.04
Mané,Wolves,FWD,4.6,46,OK,10.0,46,1.0,46.0,WOL,1143.8095238095239,1157.8095238095239,1143.8095238095239,0.04
Zirkzee,Man Utd,FWD,5.8,35,OK,6.03,35,1.0,35.0,MUN,1201.0,1213.4761904761904,1201.0,0.03
Delap,Chelsea,FWD,6.2,33,OK,5.32,33,1.0,33.0,CHE,1156.0476190476188,1206.190476190476,1156.0476190476188,0.03
Kostoulas,Brighton,FWD,4.8,30,OK,6.25,30,1.0,30.0,BHA,1221.904761904762,1234.952380952381,1221.904761904762,0.02
Kolo Muani,Spurs,FWD,6.9,28,OK,4.06,28,1.0,28.0,TOT,1267.8095238095239,1229.6190476190477,1267.8095238095239,0.02
Mayenda,Sunderland,FWD,5.2,26,OK,5.0,26,1.0,26.0,SUN,1184.8095238095236,1215.1904761904761,1184.8095238095236,0.02
Osula,Newcastle,FWD,5.4,21,OK,3.89,21,1.0,21.0,NEW,1244.8095238095236,1307.3333333333335,1244.8095238095236,0.02
Solanke,Spurs,FWD,7.2,21,OK,2.92,21,1.0,21.0,TOT,1267.8095238095239,1229.6190476190477,1267.8095238095239,0.02
Muniz,Fulham,FWD,5.3,19,OK,3.58,19,1.0,19.0,FUL,1194.238095238095,1199.904761904762,1194.238095238095,0.02
Wissa,Newcastle,FWD,7.3,18,DOUBT,2.47,18,1.0,18.0,NEW,1244.8095238095236,1307.3333333333335,1244.8095238095236,0.01
G.Jesus,Arsenal,FWD,6.4,17,OK,2.66,17,1.0,17.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.01
Enes Unal,Bournemouth,FWD,5.4,17,OK,3.15,17,1.0,17.0,BOU,1177.7619047619048,1187.047619047619,1177.7619047619048,0.01
Taty,West Ham,FWD,5.5,17,OK,3.09,17,1.0,17.0,WHU,1173.3809523809525,1233.904761904762,1173.3809523809525,0.01
Uche,Crystal Palace,FWD,5.5,16,OK,2.91,16,1.0,16.0,CRY,1118.1904761904764,1116.6666666666665,1118.1904761904764,0.01
Awoniyi,Nott'm Forest,FWD,5.2,13,OK,2.5,13,1.0,13.0,NFO,1211.1904761904761,1258.333333333333,1211.1904761904761,0.01
Marc Guiu,Chelsea,FWD,4.2,12,OK,2.86,12,1.0,12.0,CHE,1156.0476190476188,1206.190476190476,1156.0476190476188,0.01
Piroe,Leeds,FWD,4.9,12,OK,2.45,12,1.0,12.0,LEE,1211.7142857142856,1220.5714285714284,1211.7142857142856,0.01
Havertz,Arsenal,FWD,7.3,8,DOUBT,1.1,8,1.0,8.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.01
Armstrong,Wolves,FWD,5.5,8,OK,1.45,8,1.0,8.0,WOL,1143.8095238095239,1157.8095238095239,1143.8095238095239,0.01
Lucca,Nott'm Forest,FWD,5.5,7,OK,1.27,7,1.0,7.0,NFO,1211.1904761904761,1258.333333333333,1211.1904761904761,0.01
Abraham,Aston Villa,FWD,6.0,4,OK,0.67,4,1.0,4.0,AVL,1164.6190476190475,1205.8095238095236,1164.6190476190475,0.0
Kusi-Asare,Fulham,FWD,4.5,4,OK,0.89,4,1.0,4.0,FUL,1194.238095238095,1199.904761904762,1194.238095238095,0.0
Barnes,Burnley,FWD,4.2,1,OK,0.24,1,1.0,1.0,BUR,1195.0,1241.7619047619048,1195.0,0.0
Furo,Brentford,FWD,4.5,0,OK,0.0,0,1.0,0.0,BRE,1193.5714285714284,1191.9999999999998,1193.5714285714284,0.0
Marsh,Crystal Palace,FWD,4.4,0,OK,0.0,0,1.0,0.0,CRY,1118.1904761904764,1116.6666666666665,1118.1904761904764,0.0
Casey,Crystal Palace,FWD,4.5,0,OK,0.0,0,1.0,0.0,CRY,1118.1904761904764,1116.6666666666665,1118.1904761904764,0.0
