Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Konsa,Arsenal,DEF,4.6,12,OK,2.61,12,11.0,13.21,0.64,11.0,1.0,12.0,ARS,1149.9047619047617,1182.6190476190477,1182.6190476190477,0.01,0.0,0.017966055969398025
Hill,Bournemouth,DEF,5.5,12,OK,2.18,12,13.0,16.34,0.79,13.0,1.0,12.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.01,0.0,0.019870730722648364
Robinson,Fulham,DEF,4.5,12,OK,2.67,12,10.0,13.13,0.6,10.0,1.0,12.0,FUL,1063.9047619047617,1044.428571428571,1044.428571428571,0.01,2.5,0.022683217070168248
Affengruber,Fulham,DEF,4.5,12,OK,2.67,12,12.0,14.59,0.72,12.0,1.0,12.0,FUL,1063.9047619047617,1044.428571428571,1044.428571428571,0.01,0.0,0.021268089180686643
Groß,Brighton,MID,5.8,47,OK,8.1,47,33.0,42.37,1.51,33.0,1.0,47.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.04,6.5,0.07359513675249693
Schade,Brentford,MID,6.1,39,OK,6.39,39,30.0,35.11,1.3,30.0,1.0,39.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.03,2.5,0.05788490739195728
Cherki,Man City,MID,7.8,34,OK,4.36,34,26.0,29.11,1.16,26.0,1.0,34.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.03,3.25,0.04983392357107561
Semenyo,Man City,MID,8.4,33,OK,3.93,33,16.0,18.37,0.71,16.0,1.0,33.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.03,1.25,0.04073830505682755
Saka,Arsenal,MID,9.5,32,OK,3.37,32,30.0,34.62,1.31,30.0,1.0,32.0,ARS,1149.9047619047617,1182.6190476190477,1149.9047619047617,0.03,7.0,0.05499064104687759
Gakpo,Liverpool,MID,7.2,32,OK,4.44,32,29.0,33.4,1.24,29.0,1.0,32.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.03,3.25,0.04756538535831562
